id,theme,sous_theme,categorie,question,Choix_A,Choix_B,Choix_C,bonne_reponse,justification
22,1,1.1,C,22 - Qui est chargé de contrôler le respect par les sociétés de gestion de portefeuille des dispositions réglementaires qui leurs sont applicables :,Le CCLRF (Comité consultatif de la législation et de la réglementation financières),La Banque de France,L'AMF,C,Article L621-9 du code monétaire et financier
23,1,1.1,C,23 - L'autorité de Contrôle Prudentiel et de résolution (ACPR) est une autorité :,Administrative indépendante,Subordonnée à l'Autorité des marchés financiers (AMF),Adossée à la Banque de France,C,https://acpr.banque-france.fr/page-sommaire/presentation-de-lacpr
25,1,1.1,C,25 - Quelle autorité assure les contrôles et enquêtes relatives à la régularité des opérations effectuées sur des instruments financiers ?,L'AMF.,L'ACPR.,Le CCLRF.,A,"Site de l'AMF ""la procédure de sanction"" et article L621-9 du code monétaire et financier"
26,1,1.1,C,26 - La modification du code de bonne conduite d'une association représentative des conseillers en investissements financiers agréée par l'Autorité des Marchés Financiers (AMF) :,Doit être soumise à l'approbation préalable de l'AMF,Doit être soumise à la ratification postérieure de l'AMF,Est un motif de retrait de son agrément,A,"Article 325-43, alinéa 2 RGAMF"
27,1,1.1,C,"27 - En France, la sécurité des marchés financiers est assurée par :",L'AFB (Association Française des Banques),Le CCSF (Comité Consultatif du Secteur Financier),L'AMF (Autorité des Marchés Financiers),C,CMF L621-1
28,1,1.1,C,"28 - Parmi les propositions suivantes, quelle est l'activité sur laquelle l'AMF veille au respect des obligations professionnelles ?",L'intermédiation en assurance vie,Le conseil en investissements financiers,Le service de caisse,B,Art L621-9 du CMF
29,1,1.1,C,"29 - Que peut faire l'Autorité des Marchés Financiers en cas de pratiques contraires à son règlement général ou aux obligations professionnelles, notamment en cas d'abus de marché :",La Commission des sanctions peut prononcer des sanctions.,"La commission des sanctions n'est que consultative, elle transmet ses conclusions au procureur de la République.",L'AMF n'a aucun pouvoir de sanction et ne peut transmettre de rapport au procureur de la République par respect du secret professionnel.,A,articles L621-15 à L621-17-1 CMF
30,1,1.1,C,30 - Quelle est la première mission de l'ACPR ?,Définir les principes d'organisation et de fonctionnement des marchés réglementés,Veiller à la production de la monnaie fiduciaire,Veiller à la préservation de la stabilité du système financier et à la protection des clients de ses assujettis,C,Art L612-1 du CMF
31,1,1.1,C,31 - Quel est l'organe de tutelle et de contrôle des marchés financiers en France ?,L'ACPR (Autorité de Contrôle Prudentiel et de Résolution).,L'AMF (Autorité des Marchés Financiers).,La Banque de France.,B,"C. mon. fin., art. L. 621-1 et s."
32,1,1.1,C,32 - Quelle est la mission du Comité consultatif du secteur financier ?,Donner un avis sur les questions relatives aux relations entre les établissements de crédit et leur clientèle,Veiller à la stabilité du secteur financier,Limiter les risques de nature systémique,A,Art L 614-1 du Code Monétaire et Financier
34,1,1.1,C,34 - L'agrément et le contrôle du respect de la règlementation des établissements de crédit sont assurés par :,Le Ministère de l'Economie et des Finances,L'Autorité des Marchés Financiers,L'Autorité de Contrôle Prudentiel et de Résolution,C,Site internet acpr.banque-france.fr et CMF art. L. 612-1 II
35,1,1.1,C,35 - L'entreprise de marché est habilitée à exercer les droits correspondant au marché réglementé uniquement quand cette qualité est reconnue par:,L'Autorité de Contrôle Prudentiel et de Résolution (ACPR),L'Autorité des Marchés Financiers (AMF),Ministre chargé de l'économie sur proposition de l'Autorité des Marchés Financiers (AMF),C,"Article 511-9, L. 421-4 du code monétaire et financier"
36,1,1.2.1,C,36 - Un établissement de crédit désirant exercer librement sa prestation de service d'investissements dans l'Union européenne doit obtenir :,Un agrément de la commission européenne,Un passeport européen auprès de l'ACPR,Une autorisation de la Cour Européenne de Justice,B,Directive UE 2013/36 - Reglement UE 926/2014 - arrêté du 10 avril 2019 / JORF 20-04-2019
37,1,1.2.1,C,37 - Quel est l'objectif du marché unique ?,Faciliter la libre circulation des capitaux,Restreindre la circulation des capitaux,Eviter la circulation des capitaux vers les paradis fiscaux,A,Articles 63 et 64 du Traité sur l'Union Européenne
38,1,1.2.1,C,38 - Le passeport européen pour les instruments et les établissements financiers permet :,La libre circulation de l'argent quelle que soit son origine,Dans des cas particuliers de s'affranchir de la réglementation abus de marché,Ce passeport permet la reconnaissance mutuelle des agréments délivrés dans chaque pays européen par les autorités compétentes,C,directive 2014/65/UE dite MIF2
39,1,1.2.1,C,39 - Qu'est-ce que le Mécanisme de surveillance unique (MSU)?,Le système de surveillance financière composé de l'Autorité Bancaire Européenne (ABE) et des autorités compétentes nationales des États membres participants,Le système de surveillance financière composé de l'Autorité Européenne des Marchés Financiers (AEMF) et des autorités compétentes nationales des États membres participants,Le système de surveillance financière composé de la Banque Centrale Européenne (BCE) et des autorités compétentes nationales des États membres participants,C,Art. 2 du Règlement (UE) n°1024/2013
40,1,1.2.1,C,40 - Quel est l'objectif de l'Union Bancaire Européenne ?,Surveiller les établissements de crédit et les entreprises d'assurance européens,Anticiper les risques de crise bancaire et mieux en traiter les conséquences si elle survient,Contrôler la politique budgétaire et les finances publiques des États Européens,B,"Union bancaire européenne décidée par le conseil européen du 29 juin 2012 . 
Mécanisme de surveillance unique : règlement (UE) No 1024/2013du conseil du 15 octobre 2013.
Mécanisme de résolution unique : règlement (UE) No 806/2014 du parlement européen et du conseil du 15 juillet 2014."
41,1,1.2.1,C,41 - Qu'est-ce que l'AEMF (ou ESMA)?,L'autorité européenne des mutuelles financières,L'autorité européenne des marchés financiers,L'autorité européenne des mécanismes fiscaux,B,"Voir le site de l'union européenne :
https://europa.eu/european-union/about-eu/agencies/esma_fr
https://ec.europa.eu/info/business-economy-euro/banking-and-finance/banking-union/what-banking-union_en"
42,1,1.2.1,C,"42 - Parmi les propositions suivantes concernant les organismes européens de supervision, laquelle est vraie ?",Le CERS est l'organisme chargé de la supervision de marchés financiers en Europe.,L'AEMF (ESMA en anglais) est l'organisme chargé de la supervision de marchés financiers en Europe.,L'AEMF est l'organisme chargé de la supervision des banques en Europe.,B,Site de la commission européenne
43,1,1.2.1,C,43 - Quels sont les organes qui assurent la surveillance du secteur financier au niveau européen ?,"L'Autorité Bancaire Européenne (ABE) pour le secteur bancaire, l'Autorité Européenne des Assurances et des Pensions Professionnelles (AEAPP) pour le secteur de l'assurance et l'Autorité Européenne des Marchés Financiers (AEMF) pour les marchés des valeurs mobilières. Ensemble, ils assurent la surveillance du secteur financier au niveau européen.",Le conseil ECOFIN assure la surveillance du secteur financier au niveau européen.,Le groupe consultatif européen sur l'information financière (European Financial Reporting Advisory Group - EFRAG) pour le secteur bancaire et le comité international de normalisation comptable (International Accounting Standards Committee - IASC) pour le secteur financier assurent ensemble la surveillance du secteur financier au niveau européen.,A,"Règlement (UE) n° 1093/2010 instituant une Autorité européenne de surveillance (Autorité bancaire européenne), modifié par le règlement (UE) n° 1022/2013 ; Règlement (UE) n° 1094/2010 instituant une Autorité européenne de surveillance (Autorité européenne des assurances et des pensions professionnelles) ; Règlement (UE) n° 1095/2010 instituant une Autorité européenne de surveillance (Autorité européenne des marchés financiers)."
44,1,1.2.1,C,"44 - La Directive ""Solvabilité II"" est une réforme de la réglementation européenne qui concerne :",Le secteur de la finance,Le secteur de l'assurance,Le secteur de l'immobilier,B,directive UE 2009/138
45,1,1.2.1,C,"45 - Quelle est, entre autres, la fonction de l'ESMA ?",Garantir les dépôts des investisseurs dans les banques,Améliorer la protection des investisseurs,Coordonner les actions des régulateurs de l'Union européenne,B,Règlement (UE) No 1095/2010 du parlement européen et du conseil du 24 novembre 2010
46,1,1.2.1,C,"46 - Au niveau des normes communautaires, quel est le niveau d'application d'un Règlement par les Etats membres ?",Il est facultatif,Il est obligatoire et directement applicable,Il est transposable pour partie sur le plan national,B,Art 288 - Traité sur le fonctionnement de l'UE
47,1,1.2.1,C,47 - L'ESMA (European Securities and Markets Authority) a parmi ses missions de :,Maintenir la stabilité des prix,"Définir la politique monétaire de la zone ""euro""",Veiller à la stabilité financière de l'Union Européenne,C,Directive 2010/78/UE; Règlement européen 1095/2010 du 24 novembre 2010
48,1,1.2.1,C,48 - Quel est l'objectif principal du passeport européen ?,L'enregistrement centralisé des statuts des sociétés des prestataires de services d'investissement (PSI).,La reconnaissance mutuelle des diplômes entre pays européens.,La libre prestation de services au sein de l'Union européenne.,C,"C. mon. fin., art. D 532-20 à D 532-23-1."
49,1,1.2.1,C,49 - Quels sont les états concernés par l'Union Bancaire ?,Les États de la zone euro,Les États de l'Union Européenne,"Les États de la zone euro et les États de l'UE ayant établi une ""coopération rapprochée""",C,Art 2 du Règlement UE 1024/2013
50,1,1.2.1,C,50 - L'Union européenne impose aux marchés financiers des règles communes qui portent sur :,Le fonctionnement des marchés et la protection des épargnants.,La nomination des dirigeants des entreprises de marché.,La garantie totale des titres placés.,A,Site de l'AMF
52,1,1.2.1,C,"52 - Au niveau des normes communautaires, comment s'applique une Directive européenne par les Etats membres ?",Elle est directement applicable en l'état,Son application est facultative,Elle est transposable dans le droit national dans un délai prévu,C,Art 288 - Traité sur le fonctionnement de l'UE
53,1,1.2.1,C,53 - L'Autorité Bancaire Européenne (EBA en anglais) a pour objectif :,De sauvegarder la stabilité et l'efficacité du système bancaire et se focalise particulièrement sur tout risque présenté par des établissements financiers dont la défaillance risque d'entraver le fonctionnement du système financier ou de l'économie réelle,De créer un fonds commun de recouvrement de toutes les dettes européennes.,De superviser l'AMF.,A,règlement n°1093/2010
54,1,1.2.1,C,54 - Quelle est la caractéristique principale du passeport européen pour un prestataire de services d'investissement ?,Le prestataire de services d'investissement peut étendre ses activités à tous les pays membres de l'UE sur la base de l'agrément obtenu dans son pays d'origine.,Le prestataire de services d'investissement peut étendre ses activités à tous les pays d'Europe sur la base de l'agrément obtenu dans son pays d'origine.,Le prestataire de services d'investissement peut étendre ses activités à tous les pays membres de l'UE sur la base de l'agrément obtenu dans n'importe quel pays.,A,http://ec.europa.eu/internal_market/securities/isd/mifid_fr.htm
55,1,1.2.1,C,55 - Quel est le rôle de l'Autorité européenne des marchés financiers (AEMF ou ESMA - European Securities and Markets Authority ) ?,Assurer la surveillance individuelle des entreprises de marché.,Améliorer la protection des investisseurs et promouvoir la stabilité et le bon fonctionnement des marchés financiers.,Agréer les sociétés de gestion de portefeuille.,B,Règlement (UE) No 1095/2010 du 24 novembre 2010 instituant une Autorité européenne de surveillance (Autorité européenne des marchés financiers) / Site internet de l'Union Européenne : https://europa.eu/european-union/about-eu/agencies/esma_fr
56,1,1.2.1,C,"56 - Parmi les institutions suivantes, laquelle fait partie du système européen de surveillance financière (SESF) ?",L'Autorité européenne des marchés financiers (AEMF),La Fédération bancaire Européenne,La Banque Centrale Européenne,A,Article 2 du Règlement UE 1093/2010
57,1,1.2.1,C,"57 - Au niveau européen, il existe deux organes de régulation pour la banque et l'assurance, lesquels ?",L'ESMA et l'AMF,L'ESMA et l'EBA,L'EBA et l'EIOPA,C,règlement n°1093/2010
58,1,1.2.1,C,58 - Comment fonctionne le Système Européen de Surveillance Financière (SESF) ?,Il s'agit d'un dispositif qui repose sur la création d'un corps européen d'inspection des banques.,Ce dispositif est organisé en réseau autour de l'Union Bancaire Européenne (UBE) et du Comité Européen des Valeurs Mobilières (CEVM).,"Ce dispositif est organisé en réseau autour des trois Autorités Européennes de Surveillance (AES), des autorités nationales de surveillance et du Conseil Européen du Risque Systémique (CERS).",C,Règlement (UE) 1092/2010 ; https://www.bankingsupervision.europa.eu/about/esfs/html/index.fr.html
59,1,1.2.1,C,59 - A quels pays s'appliquent les dispositions du Marché unique des services financiers ?,Uniquement aux pays de la zone Euro,A tous les pays de l'Union Européenne,Aux pays de l'Espace économique européen qui souhaitent y participer,B,Art 1er du Règlement UE 1024/2013
60,1,1.2.1,C,60 - Qui assure la cohérence globale de la régulation des marchés financiers en Europe ?,Le conseil supérieur européen,L' Organisation Internationale des Commissions de Valeurs - OICV,L'Autorité européenne des marchés financiers - ESMA,C,Règlement européen n° 1095/2010
61,1,1.2.1,C,61 - Dans quel but l'Union Européenne veut-elle obtenir l'harmonisation des règles de fonctionnement des marchés financiers ?,Pour limiter la concurrence entre les différents marchés financiers,Pour renforcer la protection des épargnants et le bon fonctionnement des marchés,Pour que les services financiers soient réservés à des investisseurs qualifiés,B,economie.gouv.fr / rapport demarigny
62,1,1.2.1,C,62 - La Directive sur les systèmes de garantie des dépôts (SGD) prévoit une contribution des banques basée :,Sur leur profil de risque et le montant des dépôts garantis,Sur la taille de leur bilan,Leur ancienneté,A,Point 36 directive 2014/49/UE du 16 avril 2014 relative aux systèmes de garantie des dépôts (dite SGD)
63,1,1.2.1,C,"63 - Avec l'instauration de MiFiD 2, quel dispositif est particulièrement renforcé ?",Les normes comptables IAS et IFRS,L'échange d'informations entre les autorités nationales compétentes,Périmètre de responsabilité élargi pour le Joint Forum,B,"Règlement d'exécution UE 2017/981 de la Commission du 07/06/2017, et 2017/586 de la Commission du 14/07/2016"
64,1,1.2.1,C,64 - L'ensemble des régulateurs européens des marchés financiers se réunit au sein :,L'Autorité Européenne des Marchés Financiers (AEMF; en anglais European Securities and Markets Authority (ESMA)),La Banque Centrale Européenne (BCE),Le Fonds Monétaire International (FMI),A,https://www.esma.europa.eu/
65,1,1.2.2,C,65 - L'Organisation Internationale des Commissions de Valeurs (OICV) :,Réglemente au niveau international les échanges commerciaux,Réglemente uniquement les marchés mondiaux de matières premières,Etablit des standards internationaux en matière de marchés financiers,C,Publication AMF du 24 juillet 2014 - Les relations institutionnelles de l'AMF à l'international
66,1,1.2.2,C,66 - Quel est la mission principale du Comité de Bâle ?,Contribuer à l'amélioration de l'état du monde financier en réunissant régulièrement les acteurs internationaux,"Renforcer la solidité du système financier mondial,l'efficacité du contrôle prudentiel et la coopération entre régulateurs",Mettre en place les outils de communication entre pays pour limiter au maximum la fraude fiscale,B,Site ACPR: les instances : le comité de Bâle
67,1,1.2.2,C,67 - Quelle est la mission essentielle du Fonds Monétaire International ?,Veiller à la stabilité financière et faciliter le commerce international,Assurer la coordination entre régulateurs nationaux et internationaux dans les domaines de la banque et de l'assurance,Faciliter les travaux d'analyse des investisseurs internationaux,A,"Accords de Bretton Woods du 22 juillet 1944, modifiés les 31 mai 1968 et le 30 avril 1976"
68,1,1.2.2,C,68 - Quel est l'objectif du Comité de Bâle ?,Le Comité de Bâle a pour objectif de renforcer la solidité du système financier mondial en améliorant l'efficacité du contrôle prudentiel et la coopération entre les régulateurs bancaires.,Le Comité de Bâle a pour objectif d'assurer le bon fonctionnement et l'intégrité des marchés financiers suisses.,Le Comité de Bâle a pour unique objectif d'assurer la protection des investisseurs en Europe.,A,Site internet de l'ACPR : https://acpr.banque-france.fr/europe-et-international/banques/instances/comite-de-bale
69,1,1.2.2,C,69 - L'organisation internationale des commissions de valeurs (OICV) :,Dispose d'un pouvoir de sanctions.,A pour objectif principal d'établir des normes internationales.,Dispose d'un pouvoir de contrôle.,B,https://www.amf-france.org/L-AMF/Relations-institutionelles/International/Instances-internationales.html
70,1,1.2.2,C,70 - Quelle est la mission du Comité de Bâle ?,La définition et la gestion de la politique monétaire dans la zone euro,La surveillance des marchés financiers dans la zone euro,La promotion de la coopération internationale en matière de contrôle prudentiel,C,https://www.bis.org/bcbs/index.htm
71,1,1.2.2,C,71 - Quelles est la mission de l'Organisation internationale des commissions de valeurs (OICV) ?,Elaborer des standards internationaux pour le bon fonctionnement des marchés financiers,Assurer la possibilité de transférer des valeurs d'un marché à l'autre,Alerter les régulateurs sur les écarts anormaux d'un marché à un autre,A,Publication AMF du 24/07/2014 : Les relations institutionnelles de l'AMF à l'international
72,1,1.2.2,C,"72 - Qui est à l'initiative de la création du Conseil de Stabilité Financière (ou Financial Stability Board, FSB) ?","Le G20, dont il est le bras armé pour le développement et la mise en œuvre de standards internationaux",Le FMI pour le compte duquel il surveille la volatilité des devises,L'ONU dont il est la branche financière,A,Publication AMF du 24/07/2014 : Les relations institutionnelles de l'AMF à l'international
73,1,1.2.2,C,"73 - En matière de réglementation, l'Autorité des marchés financiers (AMF) :",Peut signer des accords de coopération avec ses homologues internationaux,Ne peut signer des accords de coopération qu'avec ses homologues de la zone euro,Ne peut signer des accords de coopération qu'avec ses homologues de l'Union européenne,A,Publication de l'AMF du 4 janvier 2016 - Directive AIFM : l'AMF publie les 34 accords bilatéraux signés avec des autorités non européennes supervisant les gestionnaires de fonds d'investissement alternatifs
74,1,1.2.2,C,74 - De qui relève l'élaboration des standards internationaux sur les marchés de valeurs mobilières?,Du Forum financier international,Du Comité de Bâle,De l'Organisation Internationale des Commissions de Valeurs,C,Objectives and Principles of Securities Regulation de 2003
75,1,1.2.2,C,"75 - Parmi les affirmations suivantes relatives à l'OICV (Organisation Internationale des Commissions de Valeurs), laquelle est correcte?",Il s'agit d'une organisation internationale créée par la Directive MIF 2,Il s'agit d'une organisation regroupement la quasi-totalité des Etats et des Banques Centrales à travers le monde,Son principal objectif est d'établir des standards internationaux permettant notamment de renforcer l'efficacité et la transparence des marchés de valeurs mobilières,C,Site internet de l'afg (https://www.afg.asso.fr/categorie-de-document/reglementation-de-la-gestion-dactifs/consultations/oicv-et-joint-forum/)
76,1,1.2.2,C,76 - Qu'est-ce que l'Organisation Internationale des Commissions de Valeurs (OICV ou IOSCO - International Organization of Securities Commissions) ?,"L'OICV est une organisation qui élabore et met en œuvre des normes ( ""standards"" ) en matière de réglementation et de surveillance pour la grande majorité des marchés de valeurs mobilières dans le monde.",L'OICV est une organisation qui contrôle les agences de notation au niveau mondial.,L'OICV est une organisation qui a pour mission de surveiller et d'analyser les risques qui pèsent sur la stabilité du système financier mondial.,A,Site internet de l'OICV : https://www.iosco.org/about/?subsection=about_iosco.
77,1,1.3,C,77 - Quelle est l'une des conditions d'accès à la profession de Conseiller en Investissements Financiers ?,Aucune condition,Une formation professionnelle adaptée,Un agrément de l'AMF,B,RG AMF Art 325-1
78,1,1.3,C,78 - En quoi consiste l'intermédiation en opérations de banque et en services de paiement ?,A assurer le service de caisse dans un établissement de crédit,"A présenter, proposer ou aider à la conclusion d'opérations de banque ou de services de paiement",A fabriquer pour les établissements bancaires les moyens de paiement : chèques et cartes,B,Article L519-1 du CMF
79,1,1.3,C,79 - Que prévoit MiFiD 2 concernant la fourniture de services d'investissement par des entreprises de pays tiers ?,Une immatriculation obligatoire auprès de l'ORIAS,Un LEI (Legal Identifier Entity),Un cadre juridique harmonisé,C,"Textes européens : Directive 2014/65/UE Articles 16 et 24,Directive déléguée 2017/593,Guidelines de l'ESMA sur la gouvernance des produits. 
Textes français : articles L533-24 et L 533-24,1 du Code Monétaire et Financier, article 313.1 et suivants du Règlement Général de l'AMF"
80,1,1.3,C,80 - Quelle règle s'applique aux CIF - Conseillers en Investissements Financiers ?,Ils doivent être agréés par l'ACPR,"Ils doivent adhérer à une, et une seule, association professionnelle agréée par l'AMF","Ils peuvent exercer librement, sous réserve d'une déclaration à la Banque de France",B,Loi sécurité financière n°2003-706 du 1er août 2003 et article 325-2 du RG AMF
81,1,1.3,C,81 - Le conseiller en investissements financiers (CIF) exerce :,Une profession dont le statut est règlementé par le Code Monétaire et Financier (CMF) et le Règlement Général de l'Autorité des Marchés Financiers (RGAMF),Une profession soumise à l'agrément de la Banque de France,Une profession libre d'exercice,A,"CMF art. L. 541-1, site de l'AMF et des associations agréées par l'AMF (ANACOFI, CNCGP, CNCIF, Compagnie des CGP)"
82,1,1.3,C,"82 - Pour être Conseiller en investissements financiers (CIF) il est, entre autres, nécessaire :","De respecter les règles de bonne conduite prévues par le Code Monétaire et Financier, le Règlement Général de l'AMF et celles définies par l'association dont il relève",De représenter une compagnie d'assurances,D'agir sous la responsabilité d'une seule et unique entreprise d'investissement,A,Loi de Sécurité Financière n 2003-706 du 01/08/2003
83,1,1.3,C,83 - Les acteurs habilités à réaliser du conseil en investissement sont :,Uniquement les prestataires de services d'investissement,Les prestataires de services d'investissement et les conseillers en investissements financiers (CIF),Toute personne morale,B,Articles et L531-1 et L541-1 du code monétaire et financier
84,1,1.3,C,84 - Quelle est la condition préalable pour qu'un CIF (Conseiller en Investissements Financiers) puisse formuler un conseil ?,Etre le représentant d'une compagnie d'assurance,Faire signer une lettre de mission à son client,"Justifier d'un minimum de 3 ans d'expérience professionnelle en tant que ""trader""",B,RG AMF art 325-6
85,1,1.3,C,85 - En quoi consiste l'activité d'IOBSP (Intermédiaire en Opérations de Banque et en Services de Paiement) ?,"Il s'agit de l'activité qui consiste à présenter, proposer ou aider à la conclusion des services d'investissement ou à effectuer tous travaux et conseils préparatoires à leur réalisation.",Il s'agit de l'activité des établissements bancaires et de crédit qui proposent uniquement des services de paiement.,"Il s'agit de l'activité qui consiste à présenter, proposer ou aider à la conclusion des opérations de banque ou des services de paiement ou à effectuer tous travaux et conseils préparatoires à leur réalisation.",C,"C. mon. fin., art. L 519-1 / Site internet de l'ACPR : https://acpr.banque-france.fr/foire-aux-questions-iobsp."
86,1,1.3,C,86 - Les conseillers en investissements financiers sont les personnes exerçant à titre de profession habituelle les activités :,De conseil en investissement uniquement,De conseil et de gestion de portefeuille uniquement,De conseil en investissement et de réception/transmission d'ordres,C,L. 541-1 CMF
87,1,1.3,C,87 - Un Conseiller en Investissement Financier (CIF) :,Peut exercer librement en France à la seule condition qu'il commercialise des produits financiers standards.,Doit remplir des conditions d'âge et d'honorabilité fixées par décret.,"Doit obligatoirement être titulaire d'un diplôme de Niveau I (Master, diplôme d'études approfondies, diplôme d'études supérieures spécialisées, diplôme d'ingénieur).",B,art L 541-1 et suivants du code monétaire et financier
88,1,1.3,C,88 - Quelle est la condition préalable pour qu'un conseiller en investissements financiers puisse formuler un conseil ?,Etre le représentant d'un IOBSP,Faire signer une lettre de mission à son client,Etre immatriculé au Registre du Commerce et des Sociétés pour son activité,B,Loi de Sécurité Financière n 2003-706 du 01/08/2003
89,1,1.3,C,89 - Auprès de quel établissement les CIF doivent-ils être immatriculés ?,Le répertoire des métiers,La Chambre de commerce dont ils dépendent,L'ORIAS,C,Article L541-4-1 du CMF
